order,first,second,resp_time,resp_action,resp_result
1,>>,>>,,,超时
2,<<,>>,1.165379899999607,right,正确
3,<<,>>,1.4870509999991555,right,正确
4,<<,<<,1.552835899999991,left,正确
5,>>,>>,1.0995273999997153,right,正确
6,<<,>>,1.4353132000005644,right,正确
7,<<,<<,1.2772149000002173,left,正确
8,<<,<<,1.3448735000001761,left,正确
9,>>,>>,0.9718047000005754,right,正确
10,>>,>>,0.8582827999998699,right,正确
