order,first,second,resp_time,resp_action,resp_result
1,>>,>>,0.6852460000081919,right,正确
2,>>,>>,1.09278480001376,right,正确
3,<<,<<,1.0607753999938723,left,正确
4,<<,<<,1.142496199987363,right,错误
5,>>,>>,0.6304835999908391,right,正确
6,<<,<<,0.9670258999976795,left,正确
7,>>,<<,0.8201987000065856,left,正确
8,<<,<<,0.9795036000141408,left,正确
9,<<,<<,0.9761216999904718,left,正确
10,<<,<<,0.9513728999882005,left,正确
