order,first,second,resp_time,resp_action,resp_result
1,<<,>>,1.0496350999746937,right,正确
2,<<,>>,1.3513739999907557,left,错误
3,>>,<<,,quit,退出
4,>>,<<,,quit,退出
5,<<,<<,,,超时
6,<<,<<,1.8310838000033982,left,正确
7,<<,>>,1.4447183999873232,left,错误
8,>>,>>,2.5137352000165265,right,正确
9,<<,<<,0.850591299997177,left,正确
10,<<,<<,1.8274236000142992,left,正确
